property_id,title,price,bedrooms,bathrooms,area_m2,property_type,status,updated_at,created_at
V2Wr2KyJMeIArp6dRNKX,"Apartamento em Curitiba, no bairro Hugo Lange - Referência: 201 - Mantra",1702960.0,3,4,132.25,apartment,active,2025-10-01T21:52:17.989845+00:00,2025-10-01T21:52:17.892721+00:00
UzE8G4uohIJsf6hTABeI,"Apartamento em Curitiba, no bairro Cristo Rei - Referência: 501 - Gran Solare",1930195.75,3,4,147.71,apartment,active,2025-10-01T21:52:17.820181+00:00,2025-10-01T21:52:17.739631+00:00
UxxolLRCIDaXOf0nFYM6,"Loja em Curitiba, no bairro Cristo Rei - Referência: Loja03 - Explore Botânico - Lojas",719320.0,,2,65.87,commercial,active,2025-10-01T21:52:17.650756+00:00,2025-10-01T21:52:17.553353+00:00
UxDqPWGXp0H1O5Hxz2NH,"Garden em Curitiba, no bairro Santo Inácio - Referência: 2BLC - Terrasse Nature",2666000.0,3,5,230.52,garden,active,2025-10-01T21:52:17.488739+00:00,2025-10-01T21:52:17.400471+00:00
UsdbvB3ilBjrbnLGeNZM,"Cobertura Duplex em Curitiba, no bairro Ahú - Referência: 802 - Lior",2515740.0,3,3,157.86,penthouse,active,2025-10-01T21:52:17.295887+00:00,2025-10-01T21:52:17.215234+00:00
UmDLF4bUR8d76XPZuPLi,"Garden em Curitiba, no bairro Novo Mundo - Referência: 4 - Sun Tower",775589.0,2,2,102.16,garden,active,2025-10-01T21:52:17.045745+00:00,2025-10-01T21:52:16.949123+00:00
Um8mLtEkbI1iQXYsce3F,"Terreno à Venda, 107 m² por R$ 180.000,00 - Cidade Industrial/Orleans, Curitiba/PR",180000.0,,,,land,active,2025-10-01T21:52:16.884669+00:00,2025-10-01T21:52:16.779648+00:00
UjefVKgvi1CLC2r0nmAE,"Apartamento em Curitiba, no bairro Bom Retiro - Referência: 55 - Nillo",643000.0,2,2,53.54,apartment,active,2025-10-01T21:52:16.585816+00:00,2025-10-01T21:52:16.496721+00:00
UibuiOwpP6bsL8FzJdIB,"Garden em Curitiba, no bairro Cabral - Referência: 25 - Luna Luz do Cabral",1369000.0,3,3,94.43,garden,active,2025-10-01T21:52:16.416448+00:00,2025-10-01T21:52:16.335901+00:00
Ui5z4OQKnYxnyhKHNaw4,Square House Portão,524000.0,2,1,50.61,apartment,active,2025-10-01T21:52:16.271372+00:00,2025-10-01T21:52:16.181977+00:00
UgOXsp6MkxXcv6hGK407,"Apartamento em Curitiba, no bairro Bigorrilho - Referência: 602 - OÁS Barigui",3009330.0,3,4,164.73,apartment,active,2025-10-01T21:52:16.117775+00:00,2025-10-01T21:52:16.029029+00:00
UeUARTrocRPwzshUG5Yr,"Cobertura Duplex em Curitiba, no bairro Alto da Glória - Referência: 816 - Moní",1324807.17,2,3,91.57,penthouse,active,2025-10-01T21:52:15.964722+00:00,2025-10-01T21:52:15.847216+00:00
UYzkUOXiyp2KcCr4Sisd,VENDA APARTAMENTO 3 QUARTOS SENDO 1 SUÍTE | 2 VAGAS - CRISTO REI - CURITIBA - ANDAR ALTO,670000.0,3,2,64.01,apartment,active,2025-10-01T21:52:15.782781+00:00,2025-10-01T21:52:15.686035+00:00
UR7yYi6lR5qfJ7jYenhc,"Apartamento em Curitiba, no bairro Campo Comprido - Referência: 605T2 - Trebbiano Residencial - Fase 1",1080374.55,2,2,87.14,apartment,active,2025-10-01T21:52:15.621639+00:00,2025-10-01T21:52:15.516993+00:00
UQDunI3ittPzb4y0Ssky,Ébano Residencial,1472280.55,3,2,112.65,apartment,active,2025-10-01T21:52:15.452386+00:00,2025-10-01T21:52:15.351754+00:00
UNHlgrCPGH3WEt0oQbk1,"Garden em Curitiba, no bairro Novo Mundo - Referência: 16 - Sun Tower",615439.0,2,2,64.65,garden,active,2025-10-01T21:52:15.277469+00:00,2025-10-01T21:52:15.157982+00:00
UIAqcGkRnuge3jyIJk5U,"Garden em Curitiba, no bairro Batel - Referência: 1101 - Qoya Residence Curio Collection by Hilton",1673715.0,2,2,103.73,garden,active,2025-10-01T21:52:14.996054+00:00,2025-10-01T21:52:14.891235+00:00
UGmk0b9IUJ2h74hymroY,"Garden em Curitiba, no bairro Cidade Industrial - Referência: 106D - Meo Neoville - Fase 3",547133.0,2,2,66.8,garden,active,2025-10-01T21:52:14.81074+00:00,2025-10-01T21:52:14.705711+00:00
UBwHHsyE1Xgea6XTNzSf,"Apartamento em Curitiba, no bairro Cabral - Referência: 22BL2 - Gaia",1069700.0,3,2,88.91,apartment,active,2025-10-01T21:52:14.641226+00:00,2025-10-01T21:52:14.528378+00:00
U9JrmAWpG9rub8G1Gss4,"Apartamento para alugar em Curitiba – Bigorrilho, 2 dormitórios, 64m², mobiliado",,2,1,64.0,apartment,active,2025-10-01T21:52:14.448008+00:00,2025-10-01T21:52:14.350744+00:00
U7IL6S7nBwDWXNkavXsa,"Garden em Curitiba, no bairro Alto da Glória - Referência: 301 - Hit Home",610409.07,2,1,48.26,garden,active,2025-10-01T21:52:14.286181+00:00,2025-10-01T21:52:14.195682+00:00
U0sbyNujTyVFp7dmYexI,"Sala em Curitiba, no bairro Mossunguê - Referência: 16 - Terrasse Hemisphere - Comercial",583778.85,,1,35.03,commercial,active,2025-10-01T21:52:14.139338+00:00,2025-10-01T21:52:14.017951+00:00
TxJM1OSW6C8ltZyzWfKq,"Apartamento em Curitiba, no bairro Bigorrilho - Referência: 903 - SoHo 2525 Champagnat",1899000.0,3,3,107.58,apartment,active,2025-10-01T21:52:13.953411+00:00,2025-10-01T21:52:13.856561+00:00
TtcVSxAGgdbzouuparsV,"Apartamento em Curitiba, no bairro Novo Mundo - Referência: B01502 BLOCO 01 - Sorano",448900.0,2,2,44.64,apartment,active,2025-10-01T21:52:13.776154+00:00,2025-10-01T21:52:13.679567+00:00
TrbWnATiXo6QOp0NkW9z,"Apartamento em Curitiba, no bairro Capão Raso - Referência: 218 - Give City Habitat",434900.0,2,1,46.08,apartment,active,2025-10-01T21:52:13.599033+00:00,2025-10-01T21:52:13.445838+00:00
ToZ7NIRtmTslUBeoKCp2,"Garden em Curitiba, no bairro Ahú - Referência: 15 - Terrasse Élégant",1366000.0,2,2,164.99,garden,active,2025-10-01T21:52:13.381517+00:00,2025-10-01T21:52:13.26007+00:00
TnyFs2Pf345RhbXnQeaR,"Garden em Curitiba, no bairro Centro Cívico - Referência: 604 - Civitas - Studios",451505.21,1,1,45.09,garden,active,2025-10-01T21:52:13.179243+00:00,2025-10-01T21:52:13.058432+00:00
TcHYyZjwwsvl6uuaQJRb,"Casa em Condomínio em Curitiba, no bairro Santo Inácio - Referência: 1 - Zenith Barigui",3068000.0,3,4,257.85,house,active,2025-10-01T21:52:12.969284+00:00,2025-10-01T21:52:12.856364+00:00
TbbsP39Ey7c1GZP9i61G,"Apartamento em Curitiba, no bairro Bigorrilho - Referência: 202 - Boutiq",1704870.0,2,3,111.47,apartment,active,2025-10-01T21:52:12.775895+00:00,2025-10-01T21:52:12.694952+00:00
TXYTVT3MKLjPXDEbJ2TR,"Cobertura Duplex em Curitiba, no bairro Hugo Lange - Referência: A404 - Falls",3280640.0,3,4,230.96,penthouse,active,2025-10-01T21:52:12.590124+00:00,2025-10-01T21:52:12.509671+00:00
TWyvjp8qJv3SIAB4MfyS,"Apartamento em Curitiba, no bairro Cabral - Referência: 302 - Máter",3079830.0,3,5,187.46,apartment,active,2025-10-01T21:52:12.437289+00:00,2025-10-01T21:52:12.356608+00:00
TUJvFAgYGAZEvpf8gPOr,"Cobertura Duplex em Curitiba, no bairro Água Verde - Referência: 82 - Piazza 685",2345000.0,2,3,133.0,penthouse,active,2025-10-01T21:52:12.243869+00:00,2025-10-01T21:52:12.163131+00:00
